sampleID	Compartment	Minutes	treatment	ColumnName	Array
a332661	matrix	20	19_uM_palmita	a332661	96
a332665	matrix	20	19_uM_palmita	a332665	97
a332669	matrix	20	19_uM_palmita	a332669	98
a332673	matrix	20	19_uM_palmita	a332673	99
a332677	matrix	20	19_uM_palmita	a332677	100
a332685	matrix	20	19_uM_palmita	a332685	101
a332549	matrix	20	02_uM_palmita	a332549	102
a332553	matrix	20	02_uM_palmita	a332553	103
a332557	matrix	20	02_uM_palmita	a332557	104
a332561	matrix	20	02_uM_palmita	a332561	105
a332565	matrix	20	02_uM_palmita	a332565	106
a332569	matrix	20	02_uM_palmita	a332569	107
a332437	matrix	20	09_uM_palmita	a332437	108
a332445	matrix	20	09_uM_palmita	a332445	109
a332449	matrix	20	09_uM_palmita	a332449	110
a332457	matrix	20	09_uM_palmita	a332457	111
a332461	matrix	20	09_uM_palmita	a332461	112
a332325	matrix	20	09_uM_palm_rm	a332325	113
a332329	matrix	20	09_uM_palm_rm	a332329	114
a332333	matrix	20	09_uM_palm_rm	a332333	115
a332337	matrix	20	09_uM_palm_rm	a332337	116
a332341	matrix	20	09_uM_palm_rm	a332341	117
a332345	matrix	20	09_uM_palm_rm	a332345	118
a332349	matrix	20	09_uM_palm_rm	a332349	119
a332217	matrix	20	ethanol__only	a332217	120
a332221	matrix	20	ethanol__only	a332221	121
a332225	matrix	20	ethanol__only	a332225	122
a332229	matrix	20	ethanol__only	a332229	123
a332233	matrix	20	ethanol__only	a332233	124
a332237	matrix	20	ethanol__only	a332237	125
