rowID	a332469	a332477	a332481	a332485	a332489	a332129	a332133	a332137	a332141	a332145
row1	4.0914	2.0334	2.705	1.9685	2.4579	2.4579	2.4409	2.2455	3.9701	2.5051
row2	1.2041	1.5682	0.9031	2.0828	1.9085	2.0043	1.9542	2.415	3.1511	1.5682
row3	2.8768	2.6656	2.9523	2.8254	2.8954	2.4216	2.7543	2.5798	3.6584	2.8306
row4	1.3222	1.2788	1.9031	1.6335	1.4314	1.301	1.8921	1.6021	2.1367	1.415
row5	2.2122	2.616	2.0719	1.2788	1.7709	2.9863	2.5514	2.433	2.5623	2.4669
row6	4.8658	4.5414	4.9307	4.8785	4.9681	4.6295	4.8219	4.6742	4.6953	4.6723
row7	5.2685	5.1057	5.429	5.3131	5.337	5.4298	5.2659	5.2973	5.2119	5.8078
row8	2.1239	3.3946	3.5084	2.4409	2.2201	2.5527	3.4486	2.6365	4.5339	2.1818
row9	2.0864	1.6435	1.7782	2.0934	1.8751	1.1761	1.6628	1.2788	3.0719	1.6021
row10	2.0755	1.8388	1.1761	1.9294	2.0294	1.4771	1.4314	1.4624	2.7076	1.7482
row11	1.7782	1.7482	2.0	2.0645	1.6902	1.3617	1.9956	1.7404	3.1847	1.415
row12	3.7566	3.8581	5.9103	3.9053	3.8054	3.5947	4.2307	3.2808	3.8068	3.1268
row13	4.526	4.0906	3.3194	4.6842	4.4179	3.9407	4.6033	4.4653	4.1472	4.5355
row14	5.8375	6.0506	5.7893	5.6945	5.8119	5.8855	5.7913	5.9865	5.6416	5.2366
row15	2.5211	2.1303	5.7033	2.4886	2.4116	2.4362	2.6551	2.3324	2.9149	2.3054
row16	2.4983	2.5729	2.738	2.2742	2.6053	2.4298	2.3766	2.2455	3.5411	2.248
row17	3.1553	2.8904	5.3477	3.1149	2.9912	3.1383	3.1193	3.0558	3.8989	3.1062
row18	5.0053	4.926	3.8204	4.9658	4.932	4.8205	4.5836	4.5923	4.7825	4.7794
row19	2.7435	2.5159	4.9069	2.659	2.8176	2.7945	2.7459	2.5051	4.1963	2.711
row20	4.3146	4.1567	3.421	4.4011	4.2913	4.3305	4.2887	4.1193	4.4595	4.6065
