group	sampleID	TechRepID	mouseID	group_combined	runOrder	fake
8C	_1a_45	1a	1	8C	36	a
8C	_1b_54	1b	1	8C	34	a
8C	_1c_104	1c	1	8C	2	a
8C	_2a_72	2a	2	8C	22	a
8C	_2b_43	2b	2	8C	79	a
8C	_2c_16	2c	2	8C	42	a
8C	_3a_98	3a	3	8C	44	a
8C	_3b_11	3b	3	8C	54	a
8C	_3c_56	3c	3	8C	102	a
8C	_4a_73	4a	4	8C	65	a
8C	_4b_57	4b	4	8C	13	a
8C	_4c_95	4c	4	8C	65	a
8C	_5a_63	5a	5	8C	74	a
8C	_5b_12	5b	5	8C	101	a
8C	_5c_20	5c	5	8C	80	a
8C	_6a_108	6a	6	8C	60	a
8C	_6b_76	6b	6	8C	11	a
8C	_6c_14	6c	6	8C	78	a
8C	_7a_81	7a	7	8C	70	a
8C	_7b_59	7b	7	8C	15	a
8C	_7c_99	7c	7	8C	34	a
8T	_8a_51	8a	8	8T	28	a
8T	_8b_96	8b	8	8T	62	a
8T	_8c_94	8c	8	8T	61	a
8T	_9a_17	9a	9	8T	20	a
8T	_9b_111	9b	9	8T	86	a
8T	_9c_37	9c	9	8T	83	a
8T	_10a_31	10a	10	8T	56	a
8T	_10b_123	10b	10	8T	85	a
8T	_10c_52	10c	10	8T	49	a
8T	_11a_112	11a	11	8T	25	a
8T	_11b_34	11b	11	8T	10	a
8T	_11c_70	11c	11	8T	35	a
8T	_12a_24	12a	12	8T	46	a
8T	_12b_44	12b	12	8T	92	a
8T	_12c_87	12c	12	8T	70	a
8T	_13a_78	13a	13	8T	75	a
8T	_13b_38	13b	13	8T	91	a
8T	_13c_109	13c	13	8T	45	a
8T	_14a_58	14a	14	8T	25	a
8T	_14b_74	14b	14	8T	4	a
8T	_14c_82	14c	14	8T	103	a
24C	_15a_83	15a	15	24C	85	a
24C	_15b_15	15b	15	24C	49	a
24C	_15c_61	15c	15	24C	79	a
24C	_16a_79	16a	16	24C	48	a
24C	_16b_23	16b	16	24C	41	a
24C	_16c_19	16c	16	24C	56	a
24C	_17a_39	17a	17	24C	8	a
24C	_17b_53	17b	17	24C	63	a
24C	_17c_55	17c	17	24C	29	a
24C	_18a_75	18a	18	24C	21	a
24C	_18b_13	18b	18	24C	17	a
24C	_18c_93	18c	18	24C	26	a
24C	_19a_21	19a	19	24C	52	a
24C	_19b_80	19b	19	24C	72	a
24C	_19c_105	19c	19	24C	49	a
24C	_20a_18	20a	20	24C	96	a
24C	_20b_22	20b	20	24C	43	a
24C	_20c_91	20c	20	24C	71	a
24C	_21a_89	21a	21	24C	45	a
24C	_21b_32	21b	21	24C	44	a
24C	_21c_10	21c	21	24C	54	a
24C	_22a_114	22a	22	24C	94	a
24C	_22b_107	22b	22	24C	18	a
24C	_22c_33	22c	22	24C	29	a
24T	_23a_90	23a	23	24T	56	a
24T	_23b_77	23b	23	24T	92	a
24T	_23c_35	23c	23	24T	15	a
24T	_24a_40	24a	24	24T	44	a
24T	_24b_88	24b	24	24T	56	a
24T	_24c_113	24c	24	24T	1	a
24T	_25a_41	25a	25	24T	30	a
24T	_25b_92	25b	25	24T	25	a
24T	_25c_110	25c	25	24T	53	a
24T	_26a_100	26a	26	24T	60	a
24T	_26b_42	26b	26	24T	24	a
24T	_26c_115	26c	26	24T	19	a
24T	_27a_97	27a	27	24T	77	a
24T	_27b_60	27b	27	24T	63	a
24T	_27c_71	27c	27	24T	25	a
24T	_29a_36	29a	29	24T	9	a
24T	_29b_106	29b	29	24T	5	a
24T	_29c_64	29c	29	24T	46	a
blank	blank1_01	0	0	blank	15	b
blank	blank1_84	0	0	blank	92	b
blank	blank2_02	0	0	blank	10	b
blank	blank2_101	0	0	blank	66	b
blank	blank2_116	0	0	blank	87	b
blank	blank3_117	0	0	blank	82	b
blank	blank3_25	0	0	blank	41	b
blank	blank4_122	0	0	blank	31	b
blank	blank4_46	0	0	blank	83	b
blank	blank5_65	0	0	blank	22	b
ISTD	ISTD_09	0	0	other	17	b
QC	QCD1_103	QC_1	0	QC	59	b
QC	QCD1_121	QC_2	0	QC	100	b
QC	QCD1_69	QC_3	0	QC	94	b
QC	QCD1_03	QC_4	0	QC	58	b
QC	QCD1_30	QC_5	0	QC	40	b
QC	QCD2_08	QC_6	0	QC	35	b
QCD	QCD2_120	0	0	other	55	b
QCD	QCD3_119	0	0	other	98	b
QCD	QCD4_118	0	0	other	15	b
