sampleID	flag_BA_samples_off
_1a_45	0
_1b_54	1
_1c_104	0
_2a_72	1
_2b_43	0
_2c_16	1
_3a_98	0
_3b_11	1
_3c_56	1
_4a_73	0
_4b_57	1
_4c_95	0
_5a_63	1
_5b_12	0
_5c_20	1
_6a_108	0
_6b_76	1
_6c_14	0
_7a_81	1
_7b_59	0
_7c_99	1
_8a_51	1
_8b_96	1
_8c_94	1
_9a_17	1
_9b_111	1
_9c_37	0
_10a_31	0
_10b_123	0
_10c_52	0
_11a_112	0
_11b_34	1
_11c_70	0
_12a_24	1
_12b_44	0
_12c_87	1
_13a_78	0
_13b_38	1
_13c_109	0
_14a_58	1
_14b_74	0
_14c_82	1
_15a_83	0
_15b_15	0
_15c_61	0
_16a_79	1
_16b_23	0
_16c_19	1
_17a_39	0
_17b_53	1
_17c_55	0
_18a_75	0
_18b_13	0
_18c_93	0
_19a_21	0
_19b_80	1
_19c_105	0
_20a_18	1
_20b_22	0
_20c_91	1
_21a_89	0
_21b_32	1
_21c_10	1
_22a_114	1
_22b_107	1
_22c_33	1
_23a_90	1
_23b_77	1
_23c_35	1
_24a_40	1
_24b_88	1
_24c_113	0
_25a_41	0
_25b_92	0
_25c_110	0
_26a_100	0
_26b_42	0
_26c_115	1
_27a_97	0
_27b_60	1
_27c_71	1
_29a_36	0
_29b_106	0
_29c_64	0
blank1_01	0
blank1_84	0
blank2_02	0
blank2_101	0
blank2_116	0
blank3_117	0
blank3_25	1
blank4_122	1
blank4_46	1
blank5_65	1
ISTD_09	1
QCD1_103	1
QCD1_121	1
QCD1_69	1
QCD1_03	1
QCD1_30	1
QCD2_08	1
QCD2_120	1
QCD3_119	1
QCD4_118	1
